Терапевт: общее недомогание, слабость, нестабильная температура, ломота в теле, снижение энергии
Кардиолог: дискомфорт в груди, перебои сердечного ритма, одышка, слабость при нагрузке, головокружение
Невролог: головная боль, нарушение чувствительности, мышечные подергивания, неустойчивость, замедленная реакция
ЛОР: заложенность, першение в горле, снижение слуха, дискомфорт в носоглотке, щелчки при глотании
Офтальмолог: ухудшение зрения, напряжение глаз, двоение, светочувствительность, сухость
Дерматолог: высыпания, зуд, покраснение кожи, шелушение, изменения структуры кожи
Травматолог: боль после повреждения, отек, ограничение подвижности, деформация, синяки
Эндокринолог: резкие изменения веса, усталость, нарушение терморегуляции, жажда, снижение энергии
Психиатр: тревожность, апатия, перепады настроения, нарушения сна, потеря интереса
Кардиохирург: выраженная боль в груди, резкая одышка, ухудшение переносимости нагрузки, нестабильный пульс, обморочные состояния
Гастроэнтеролог: тяжесть после еды, дискомфорт в животе, вздутие, тошнота, изменение аппетита
Ортопед: боли в суставах, нарушение осанки, скованность движений, дискомфорт при ходьбе, утомляемость
Хирург: острая локальная боль, воспаление, отек тканей, покраснение, ограничение функции
Реабилитолог: снижение подвижности, мышечная слабость, скованность, замедленное восстановление, утомляемость
Аллерголог: реакции на раздражители, отечность, слезоточивость, кожные проявления, чихание
Онколог: длительная боль, необъяснимая потеря веса, уплотнения, хроническая усталость, снижение аппетита
Эндоскопист: боли в животе неясного происхождения, трудности глотания, изжога, дискомфорт после еды, подозрение на внутренние изменения
Генетик: наследственные риски, необъяснимые симптомы, врожденные особенности, системные нарушения, атипичные проявления
Диетолог: проблемы с весом, нарушение питания, усталость, снижение энергии, пищевой дискомфорт
Нефролог: отеки, боль в пояснице, изменение мочи, повышение давления, слабость
Пульмонолог: ощущение нехватки воздуха, затрудненное дыхание, кашель, стеснение в груди, дыхательный дискомфорт
Логопед: нарушения речи, трудности произношения, заикание, замедленная речь, напряжение голоса
Стоматолог: зубная боль, чувствительность, воспаление десен, неприятный запах, отек
Физиотерапевт: мышечное напряжение, хронические боли, ограничение подвижности, замедленное восстановление, скованность
Психотерапевт: стресс, эмоциональное напряжение, выгорание, тревожные мысли, трудности расслабления
Педиатр: повышенная температура, вялость, отказ от еды, сыпь, кашель
Неонатолог: вялость, нестабильное дыхание, плохой набор веса, частые срыгивания, снижение активности
